label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
,0,5398,14,380.699,6.986675,0.8226159,,,,,0,0,380.699,2333.279,2349.615,2897.692,2317.858,2486.555,2299.481,3051.735,2987.323,2004.853,2552.017,2501.942,2374.608,2227.65,3109.92,2224.794,2415.852
,0,5399,3,98.97192,4.547712,0.6899607,,,,,0,0,98.97192,1706.601,1849.739,2002.082,2403.612,1908.748,1714.797,1727.574,2297.586,1718.245,2121.819,1780.107,2234.493,2209.848,2667.059,2982.864,2533.363
,0,5400,2,98.97196,4.886104,0.5588664,,,,,0,0,98.97196,1972.1,1884.92,1829.915,2322.274,1811.606,2760.66,2006.437,1992.04,2663.008,1998.628,2164.759,1945.276,2699.132,3216.84,2550.778,4056.783
,0,5401,15,128.0271,4.261747,0.8289979,,,,,0,0,128.0271,2024.765,1965.969,2821.086,1895.205,2721.799,3812.652,4091.298,5351.62,4084.548,3643.774,2707.931,3762.121,3093.74,3507.708,3755.741,3459.413
,0,5402,16,430.3297,17.92242,0.846176,,,,,0,0,430.3297,2326.031,3054.451,2614.808,2775.687,2526.842,2598.884,2348.555,2843.772,2264.146,2828.785,1809.529,2490.065,2171.809,1888.249,1720.402,2465.32
,0,5403,2,331.214,11.7377,0.6394802,,,,,0,0,331.214,1714.128,1390.938,2302.286,1674.048,1914.9,1829.103,2094.101,2173.649,2137.173,2288.769,1932.47,1894.789,1766.795,2547.921,2337.049,2475.17
,0,5404,16,279.0187,14.57644,0.8448439,,,,,0,0,279.0187,2203.62,3111.355,2761.029,2383.545,3124.954,2213.066,2073.313,2748.396,2580.23,2740.156,2144.885,2300.674,2016.047,2053.712,2671.598,1961.681
,0,5405,5,214.2039,13.23414,0.5955162,,,,,0,0,214.2039,1444.32,1798.901,1550.249,2104.67,1322.283,1430.944,1729.548,2127.825,1548.828,2272.055,1724.202,2090.467,1544.164,2303.937,2460.16,2873.608
,0,5406,13,844.0748,16.02244,0.8332236,,,,,0,0,844.0748,1794.881,1890.246,2130.407,1865.902,1944.367,2274.405,1541.439,2664.931,1967.683,2369.572,1916.931,3506.921,2027.469,3077.826,2628.666,2726.065
,0,5407,7,432.8193,6.254619,0.8253359,,,,,0,0,432.8193,2558.491,2844.124,2434.49,2507.324,2255.556,2307.043,2970.485,2293.804,3124.211,2866.94,2679.178,2645.406,2193.465,2586.087,2255.545,2780.775
,0,5408,1,200.9726,4.823189,0.5587513,,,,,0,0,200.9726,1822.831,2245.027,1906.612,2242.21,2046.531,1591.175,2259.504,1970.076,1808.799,1618.286,1645.775,1762.657,1654.746,1814.009,1883.117,1983.976
,0,5409,16,159.1064,15.77682,0.8347881,,,,,0,0,159.1064,3319.793,3571.385,2219.74,3372.648,3492.865,3073.599,3721.537,4175.975,2383.443,2460.448,2482.421,1225.933,3224.944,4560.722,1335.278,4110.422
,0,5410,2,730.5775,18.95429,0.5658982,,,,,0,0,730.5775,3015.15,3812.43,3249.121,3713.765,3695.846,4359.097,3261.641,3596.996,3987.45,3961.283,4637.319,5622.278,6001.972,5268.76,5290.506,2916.188
,0,5411,13,330.1908,13.44168,0.8321465,,,,,0,0,330.1908,2286.948,2035.211,1320.115,2170.683,1984.683,2776.844,2201.324,3222.993,1937.253,2839.709,1519.94,2250.853,2186.329,2465.692,2642.305,2539.49
,0,5412,10,239.0924,16.13661,0.8435963,,,,,0,0,239.0924,2625.932,3027.944,2913.305,3600.717,2323.346,2618.251,2049.984,2401.771,2839.496,1761.234,2430.299,2243.931,1804.443,2639.866,2585.594,2401.244
,0,5413,9,410.7424,6.540196,0.8088096,,,,,0,0,410.7424,2106.96,3184.003,2899.483,3122.138,2429.608,2734.67,2063.326,2811.524,1594.463,2331.046,1953.152,2686.688,2323.662,2287.812,2052.407,2714.592
