duplicate_id,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
41,0.0,72.0,16.0,102.056,4.250308,0.840741,0.0,0.0,102.056,708268.8,581157.3,898220.8,640704.2,934046.8,1037267.0,995512.7,1062498.0,964667.8,1107351.0,897516.1,1052580.0,850718.1,946719.0,930872.7,1140313.0
41,0.0,84.0,16.0,102.056,4.250308,0.841432,0.0,0.0,102.056,698336.2,580684.6,881490.7,640527.4,915434.3,1037158.0,974765.7,1061864.0,945336.8,1106703.0,884021.4,1051879.0,833036.9,946094.0,916114.7,1139805.0
42,0.0,75.0,15.0,164.0753,4.113992,0.8447486,0.0,0.0,164.0753,10769.28,3972.178,11031.11,6471.467,6683.431,5834.824,5949.684,3556.006,9462.351,11475.63,12059.45,5669.312,9938.277,7890.379,15278.81,6773.656
42,0.0,5073.0,12.0,164.0754,4.113992,0.8439388,0.0,0.0,164.0754,10769.28,3976.882,11031.11,6471.467,6683.431,5834.824,5949.684,3556.006,9462.351,11475.63,12059.45,5669.312,9938.277,7890.379,15278.81,6773.656
43,0.0,78.0,3.0,147.0416,4.146399,0.8242965,0.0,0.0,147.0416,4848.031,2726.25,3750.925,2437.664,2740.914,2647.912,3034.67,3980.925,3028.334,2404.448,3423.357,3927.612,3873.152,3930.166,2787.881,3155.729
43,0.0,4413.0,5.0,147.0416,4.146399,0.8256378,0.0,0.0,147.0416,4848.031,2726.25,3750.925,2437.664,2740.914,2647.912,3034.67,3980.925,3028.334,2404.448,3423.357,3927.612,3873.152,3930.166,2787.881,3155.729
44,0.0,79.0,16.0,102.063,4.24554,0.8438407,0.0,0.0,102.063,3997.304,3288.617,4477.918,3697.105,5189.99,5870.879,5549.439,5595.462,5404.339,6529.452,5259.638,7254.465,6144.055,5858.076,6593.302,7721.23
44,0.0,3599.0,16.0,102.0629,4.24554,0.8442165,0.0,0.0,102.0629,3997.304,3288.617,4477.918,3697.105,5189.99,5870.879,5549.439,5595.462,5404.339,6529.452,5259.638,7254.465,6144.055,5858.076,6593.302,7721.23
45,0.0,79.0,16.0,102.063,4.24554,0.8438407,0.0,0.0,102.063,3997.304,3288.617,4477.918,3697.105,5189.99,5870.879,5549.439,5595.462,5404.339,6529.452,5259.638,7254.465,6144.055,5858.076,6593.302,7721.23
45,0.0,4440.0,16.0,102.063,4.24554,0.8439623,0.0,0.0,102.063,3997.304,3288.617,4477.918,3697.105,5189.99,5870.879,5549.439,5595.462,5404.339,6529.452,5259.638,7254.465,6144.055,5858.076,6593.302,7721.23
46,0.0,80.0,16.0,147.0451,4.108273,0.8402697,0.0,0.0,147.0451,1053538.0,715344.2,1111252.0,739546.1,1041952.0,653509.3,1068196.0,682539.7,1095889.0,790399.4,982772.5,759327.5,1053808.0,715451.5,921900.0,684219.7
46,0.0,120.0,16.0,147.045,4.108273,0.8400941,0.0,0.0,147.045,1053640.0,715416.2,1111424.0,739546.1,1042405.0,653673.2,1068196.0,682592.7,1095890.0,790399.4,982776.1,759378.0,1053808.0,715451.5,921900.0,684219.7
47,0.0,81.0,12.0,128.0324,4.252211,0.8272768,0.0,0.0,128.0324,1678.746,1490.234,1837.021,1683.348,2700.233,1648.475,1993.348,1932.929,2214.366,3869.39,2015.663,3074.935,1786.764,3189.579,2684.922,2367.419
47,0.0,5855.0,11.0,128.0324,4.242679,0.8264607,0.0,0.0,128.0324,1668.177,1420.228,1845.145,1487.909,2694.333,1651.545,1696.896,1939.575,2214.366,3836.281,1880.396,3052.287,1534.63,3189.579,2532.319,2367.419
48,0.0,86.0,16.0,228.1606,16.18612,0.8203725,0.0,0.0,228.1606,526632.6,790284.2,514685.1,737494.7,518298.5,789115.4,494317.6,689484.7,451046.1,624765.3,449400.9,679208.3,484024.9,635671.7,586680.4,788130.7
48,0.0,124.0,16.0,228.1606,16.18612,0.8206654,0.0,0.0,228.1606,526169.7,789732.0,514299.4,736962.8,517898.6,788565.9,493847.9,689031.8,450652.5,624252.5,449011.0,678706.0,483413.8,634541.6,585924.8,787195.3
49,0.0,87.0,16.0,228.1608,16.84481,0.8264563,0.0,0.0,228.1608,395734.1,411597.8,397183.2,428372.7,386956.2,434749.9,404483.2,420756.4,367067.9,409253.4,388614.2,413485.8,412365.9,410594.9,412970.6,447100.3
49,0.0,125.0,16.0,228.1608,16.84481,0.8267661,0.0,0.0,228.1608,395271.2,411045.6,396797.7,427840.8,386556.3,434200.4,404013.5,420303.5,366674.2,408740.5,388224.3,412983.5,411754.8,409464.8,412215.0,446164.9
50,0.0,88.0,15.0,228.1606,15.85585,0.7788706,0.0,0.0,228.1606,32239.12,40672.53,35909.24,38510.36,37038.92,42673.36,34488.25,37052.31,35519.15,38906.73,35772.56,38364.14,36339.5,36181.61,35788.34,37799.19
50,0.0,126.0,15.0,228.1606,15.85585,0.7790495,0.0,0.0,228.1606,31776.18,40120.42,35523.86,37978.47,36639.03,42123.91,34018.56,36599.34,35125.63,38393.88,35382.68,37862.23,35728.39,35051.5,35032.77,36864.61
51,0.0,90.0,16.0,339.3024,17.25797,0.8171586,0.0,0.0,339.3024,485824.9,542815.2,483666.0,535797.8,493239.5,518713.9,507275.8,522123.1,469521.0,500990.8,463916.1,474579.4,460713.5,509285.5,503202.8,589483.8
51,0.0,5860.0,15.0,339.3024,17.25797,0.8285766,0.0,0.0,339.3024,459421.3,512629.1,455321.6,506166.5,464717.8,486329.9,474980.0,490118.4,439373.0,472986.7,436660.0,452617.8,432233.8,477248.2,474762.1,556172.8
52,0.0,97.0,11.0,284.2172,16.6268,0.8130796,0.0,0.0,284.2172,1985.07,2890.319,1554.47,1712.82,1564.59,1960.077,2039.86,1738.054,1561.964,4034.369,2208.59,1617.823,1654.019,1613.583,2085.938,1260.17
